,votes,eevp,timestamp,state,vote_share_rep,vote_share_dem,vote_share_trd
0,0,0,2020-11-04 10:01:44+00:00,alaska,0.0,0.0,0.0
1,113744,31,2020-11-04 07:47:41+00:00,alaska,0.605,0.352,0.04300000000000004
2,132475,36,2020-11-04 08:57:55+00:00,alaska,0.614,0.347,0.039000000000000035
3,172031,56,2020-11-04 18:34:58+00:00,alaska,0.629,0.33,0.040999999999999925
4,190970,61,2020-11-09 19:09:13+00:00,alaska,0.622,0.336,0.04200000000000004
5,240234,75,2020-11-11 02:46:15+00:00,alaska,0.58,0.381,0.039000000000000035
6,260983,75,2020-11-11 13:18:28+00:00,alaska,0.569,0.391,0.040000000000000036
7,286788,78,2020-11-12 16:41:43+00:00,alaska,0.559,0.403,0.03799999999999992
8,312033,99,2020-11-13 02:25:15+00:00,alaska,0.541,0.421,0.038000000000000034
9,325194,99,2020-11-13 13:55:46+00:00,alaska,0.533,0.425,0.04200000000000004
10,334789,99,2020-11-14 02:43:02+00:00,alaska,0.535,0.427,0.038000000000000034
11,0,0,2020-11-04 10:02:44+00:00,alabama,0.0,0.0,0.0
12,1053,0,2020-11-04 01:23:07+00:00,alabama,0.407,0.585,0.008000000000000007
13,2190,0,2020-11-04 01:28:39+00:00,alabama,0.395,0.602,0.0030000000000000027
14,3709,0,2020-11-04 01:29:35+00:00,alabama,0.506,0.489,0.0050000000000000044
15,4280,0,2020-11-04 01:32:46+00:00,alabama,0.52,0.474,0.006000000000000005
16,5249,0,2020-11-04 01:40:51+00:00,alabama,0.516,0.476,0.008000000000000007
17,8971,0,2020-11-04 01:41:31+00:00,alabama,0.472,0.52,0.008000000000000007
18,9234,0,2020-11-04 01:42:13+00:00,alabama,0.463,0.53,0.006999999999999895
19,10648,0,2020-11-04 01:43:04+00:00,alabama,0.439,0.551,0.010000000000000009
20,11670,0,2020-11-04 01:45:58+00:00,alabama,0.475,0.515,0.010000000000000009
21,11672,0,2020-11-04 01:46:29+00:00,alabama,0.475,0.515,0.010000000000000009
22,18631,1,2020-11-04 01:49:11+00:00,alabama,0.398,0.592,0.010000000000000009
23,21290,1,2020-11-04 01:52:02+00:00,alabama,0.406,0.58,0.014000000000000012
24,23626,1,2020-11-04 01:55:09+00:00,alabama,0.423,0.564,0.013000000000000123
25,30815,1,2020-11-04 01:56:07+00:00,alabama,0.452,0.533,0.014999999999999902
26,32278,1,2020-11-04 01:57:36+00:00,alabama,0.454,0.53,0.016000000000000014
27,40640,2,2020-11-04 02:00:03+00:00,alabama,0.468,0.519,0.0129999999999999
28,57276,2,2020-11-04 02:02:35+00:00,alabama,0.462,0.526,0.01200000000000001
29,57720,2,2020-11-04 02:02:42+00:00,alabama,0.465,0.523,0.01200000000000001
30,60973,3,2020-11-04 02:03:00+00:00,alabama,0.489,0.499,0.01200000000000001
31,61798,3,2020-11-04 02:04:16+00:00,alabama,0.491,0.497,0.01200000000000001
32,64748,3,2020-11-04 02:06:06+00:00,alabama,0.498,0.49,0.01200000000000001
33,66834,3,2020-11-04 02:08:52+00:00,alabama,0.497,0.49,0.013000000000000012
34,87270,4,2020-11-04 02:09:29+00:00,alabama,0.538,0.449,0.0129999999999999
35,87819,4,2020-11-04 02:09:46+00:00,alabama,0.54,0.447,0.0129999999999999
36,96685,4,2020-11-04 02:10:50+00:00,alabama,0.501,0.485,0.014000000000000012
37,102521,4,2020-11-04 02:12:20+00:00,alabama,0.514,0.473,0.013000000000000012
38,106641,4,2020-11-04 02:12:31+00:00,alabama,0.517,0.47,0.013000000000000012
39,110254,5,2020-11-04 02:16:36+00:00,alabama,0.522,0.466,0.01200000000000001
40,115261,5,2020-11-04 02:16:48+00:00,alabama,0.539,0.449,0.01200000000000001
41,117598,5,2020-11-04 02:17:24+00:00,alabama,0.544,0.444,0.01200000000000001
42,150325,6,2020-11-04 02:18:14+00:00,alabama,0.503,0.485,0.01200000000000001
43,167645,7,2020-11-04 02:19:55+00:00,alabama,0.489,0.499,0.01200000000000001
44,177093,7,2020-11-04 02:22:05+00:00,alabama,0.502,0.487,0.01100000000000001
45,193780,8,2020-11-04 02:22:13+00:00,alabama,0.51,0.477,0.013000000000000012
46,200496,8,2020-11-04 02:22:55+00:00,alabama,0.523,0.465,0.01200000000000001
47,210956,9,2020-11-04 02:23:15+00:00,alabama,0.531,0.457,0.01200000000000001
48,218259,9,2020-11-04 02:23:54+00:00,alabama,0.54,0.447,0.0129999999999999
49,218829,9,2020-11-04 02:25:01+00:00,alabama,0.541,0.447,0.01200000000000001
50,233304,10,2020-11-04 02:26:10+00:00,alabama,0.547,0.44,0.0129999999999999
51,242977,10,2020-11-04 02:26:59+00:00,alabama,0.555,0.432,0.0129999999999999
52,252138,11,2020-11-04 02:27:21+00:00,alabama,0.56,0.428,0.01200000000000001
53,255016,11,2020-11-04 02:27:48+00:00,alabama,0.559,0.429,0.01200000000000001
54,257678,11,2020-11-04 02:28:17+00:00,alabama,0.562,0.425,0.0129999999999999
